Parent Type,Property,Type,Description
schema:CreativeWork,editor,Person,Specifies the Person who edited the CreativeWork.
codemeta:SoftwareSourceCode,embargoEndDate,Date,"Software may be embargoed from public access until a specified date (e.g. pending publication, 1 year from publication)"
schema:CreativeWork,encoding,MediaObject,A media object that encodes this CreativeWork. This property is a synonym for associatedMedia. Supersedes encodings.
schema:Role,endDate,Date or Datetime,"The end date and time of the item, usually a Role. In ISO 8601 date format"
schema:CreativeWork,fileFormat,Text or URL,"Media type, typically MIME format (see IANA site) of the content e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry."
schema:SoftwareApplication,fileSize,Text,"Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed."
schema:CreativeWork,funder,Organization or Person,A person or organization that supports (sponsors) something through some kind of financial contribution.
schema:CreativeWork,funder/name,Text,The name of a person or organization that supports (sponsors) something through some kind of financial contribution.
codemeta:SoftwareSourceCode,funding,Text,Funding source (e.g. specific grant)
schema:CreativeWork,hasPart,CreativeWork,Indicates a CreativeWork that is (in some sense) a part of this CreativeWork. Reverse property isPartOf
codemeta:SoftwareApplication,hasSourceCode,SoftwareSourceCode,A link that states where the software code is for a given software. For example a software registry may indicate that one of its software entries hasSourceCode in a GitHub repository.
schema:Thing,identifier,PropertyValue or URL,"The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details."
schema:SoftwareApplication,installUrl,URL,"URL at which the app may be installed, if different from the URL of the item."
schema:CreativeWork,isAccessibleForFree,Boolean,A flag to signal that the publication is accessible for free.
schema:CreativeWork,isPartOf,CreativeWork,Indicates a CreativeWork that this CreativeWork is (in some sense) part of. Reverse property hasPart
codemeta:SoftwareSourceCode,isSourceCodeOf,SoftwareApplication,A link that states where software application is built from a given source code. This is the reverse property of 'hasSourceCode'.
codemeta:SoftwareSourceCode,issueTracker,URL,A link to software bug reporting or issue tracking system
schema:CreativeWork,keywords,Text,Keywords or tags used to describe this content. Multiple entries in a keywords list are typically delimited by commas.
schema:CreativeWork,license,CreativeWork or URL,"A license document that applies to this content, typically indicated by URL."
codemeta:SoftwareSourceCode,maintainer,Person,Individual responsible for maintaining the software (usually includes an email contact address)
schema:SoftwareApplication,memoryRequirements,Text or URL,Minimum memory requirements.
schema:Thing,name,Text,The name of the software
schema:SoftwareApplication,operatingSystem,Text,"Operating systems supported (Windows 7, OSX 10.6, Android 1.6)."
schema:SoftwareApplication,permissions,Text,"Permission(s) required to run the app (for example, a mobile app may require full internet access or may run only on wifi)."
schema:CreativeWork,position,Integer or Text,"The position of an item in a series or sequence of items. (While schema.org considers this a property of CreativeWork, it is also the way to indicate ordering in any list (e.g. the Authors list). By default arrays are unordered in JSON-LD"
schema:SoftwareApplication,processorRequirements,Text,Processor architecture required to run the application (e.g. IA64).
schema:CreativeWork,producer,Organization or Person,"The person or organization who produced the work (e.g. music album, movie, tv/radio series etc.)."
schema:SoftwareSourceCode,programmingLanguage,ComputerLanguage or Text,The computer programming language.
schema:CreativeWork,provider,Organization or Person,"The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller. Supersedes carrier."
schema:CreativeWork,publisher,Organization or Person,The publisher of the creative work.
codemeta:SoftwareSourceCode,readme,URL,A link to software Readme file
codemeta:SoftwareSourceCode,referencePublication,ScholarlyArticle,An academic publication related to the software.
schema:Thing,relatedLink,URL,"A link related to this object, e.g. related web pages"
schema:SoftwareApplication,releaseNotes,Text or URL,Description of what changed in this version.
schema:SoftwareSourceCode,review,Review,A review of the source code.
schema:Review,reviewAspect,Text,This review is relevant to this part or facet of the object being review
schema:Review,reviewBody,Text,The actual body of the review
schema:SoftwareSourceCode,runtimePlatform,Text,"Runtime platform or script interpreter dependencies (Example - Java v1, Python2.3, .Net Framework 3.0). Supersedes runtime."
schema:Thing,sameAs,URL,"URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website."
schema:SoftwareApplication,softwareHelp,CreativeWork,Software application help.
schema:SoftwareApplication,softwareRequirements,SoftwareSourceCode,Required software dependencies
codemeta:SoftwareSourceCode,softwareSuggestions,SoftwareSourceCode,"Optional dependencies, e.g. for optional features, code development, etc."
schema:SoftwareApplication,softwareVersion,Text,Version of the software instance.
schema:CreativeWork,sponsor,Organization or Person,"A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event."
schema:Role,startDate,Date or Datetime,"The start date and time of the item, usually a Role. In ISO 8601 date format"
schema:SoftwareApplication,storageRequirements,Text or URL,Storage requirements (free space required).
schema:SoftwareApplication,supportingData,DataFeed,Supporting data for a SoftwareApplication.
schema:SoftwareSourceCode,targetProduct,SoftwareApplication,"Target Operating System / Product to which the code applies. If applies to several versions, just the product name can be used."
schema:Thing,url,URL,URL of the item.
schema:CreativeWork,version,Number or Text,The version of the CreativeWork embodied by a specified resource.
